author,authorId
 Garth Williams,cf57633d-0ce7-41f2-912d-a4e4a4640332
 Rosemary Wells,59b2d6da-66ae-40eb-88b2-bef4441de8a0
Mark Haddon,e759637d-730d-45ca-90dc-6a7e991f5a3a
Paula Hawkins,a8dafbbf-e81a-46ae-a434-bc26a92550c4
Philip Pullman,3b6f1e2b-d9d3-48f9-99ed-2f2411d56b2d
Emily Brontë,e65d9dd6-fbe4-432a-a541-ef41be5ed9d5
 Richard J. Dunn,7ae72244-0d85-4c1f-9c3e-27c78764d906
Jodi Picoult,1c1908e8-e766-4387-a536-59c641c03c10
Kurt Vonnegut Jr.,b8a4c879-b355-4ecd-ab01-fb509e3d600f
Margaret Mitchell,59d7b62a-4faf-4921-bcbb-afb4bb17a30c
Stephen Chbosky,c47a331e-b82a-4c44-aa4b-7a33e3190b90
Orson Scott Card,bc46cc74-1961-407a-942c-2a2e74fa1964
Mary Wollstonecraft Shelley,d52b22c1-1088-4de4-8948-02816ad084a4
 Percy Bysshe Shelley,28668195-0b43-4d88-b9f3-a0e6d6e13493
 Maurice Hindle,089178a8-7dfd-485e-b973-6e8de469f6ae
Stephen King,c064f14f-b542-4e3a-8987-293ad966d06f
Helen Fielding,d07ca133-9442-432a-b9a9-9ff27059a3b3
 Tony Tanner,4266781b-dc7c-4ab5-83a4-26a5ee3098b2
 Ros Ballaster,f6065596-d453-487a-b5b7-2cd9fa638a31
Louis Sachar,78020431-653e-4c1d-b8b2-d81ed7b700ca
 Louis Sachar,0426abea-310a-492a-8ee1-ce3a2f6fe003
Lauren Weisberger,dc72273f-af74-4ade-b9c0-9520d1159ad0
Homer,482c4461-2c60-4052-aef3-7a6c91fb7a7a
 Robert Fagles,dc62fb3f-b904-4303-8d0d-aeb7b66d2335
 E.V. Rieu,cacb8ecd-8c13-4281-8ff1-c2d9cfb44158
 Frédéric Mugler,bbd6cd30-d8ec-4b5d-bbd5-267fc1c5b211
 Bernard Knox,868b7167-6804-43de-b8d3-e196042ba62f
Antoine de Saint-Exupéry,390772c4-411c-4cf8-afc6-9622abe7b008
 Richard Howard,4b63ce74-58eb-480f-b8df-305321b413d5
 Dom Marcos Barbosa,9bb65d41-988a-46b2-a564-e55da0ec2852
 Melina Karakosta,80fedaee-5c62-4467-83d8-59e4064d947d
Jeannette Walls,2c8201e3-0cac-409d-8cf9-5edfae7bb157
Jon Krakauer,e829330c-fdb7-4407-92e9-89d0b7bfc23f
Charles Dickens,8d9c94f3-2e40-4a8f-a2fb-c1954df2324b
 Richard Maxwell,69063561-64b8-4de5-ba36-3086b500eb0e
 Hablot Knight Browne,c8cddcea-aae1-4b5b-86e6-8322859ac005
Michael Crichton,396737b3-7743-4fd2-a19e-83809e9da279
John Grisham,57d203a5-6816-42de-8fd7-74d43109de6e
Elie Wiesel,f45c73d4-5ed3-42ba-8bda-cc1fef92c7af
 Marion Wiesel,2fe5591a-de91-4178-9b92-5acb54fb4566
William Goldman,387f4ce1-3a73-4a39-8887-e21107052d26
S.E. Hinton,74342b11-37f8-465e-9cc1-db58cc34c676
James Dashner,73516f60-1e4c-481f-84a9-b26d3ac40ab2
Steven D. Levitt,3b36d89c-f9c0-46ad-af79-18c85dd5062c
 Stephen J. Dubner,021b1b9b-3dc9-4a1c-a1ef-cc9c6bd5b82a
Frances Hodgson Burnett,4f71d56f-cd26-478e-a7c2-dc652ccd1357
Gabriel García Márquez,da84dcaa-01c4-4b38-b244-f0867d491313
 Gregory Rabassa,120510e7-a9b5-4f60-b3a8-a842832a1f3a
Oscar Wilde,926d2f7e-d222-4b39-a9c6-a76027670aab
 Jeffrey Eugenides,055ca100-bc90-4461-9f76-e0f307cefb7d
Bram Stoker,9b64b33a-0dc4-4d56-ae2a-cfcc8e4ed0da
 Nina Auerbach,f816a75d-b1cf-4322-94e3-889f4e2776c1
 David J. Skal,3a5c1e83-cd39-4ae8-86cb-c2a48bc8d24b
Barbara Kingsolver,87c1d7f1-0a16-4ec0-8a13-fcd4542fd1dc
David Sedaris,639baad3-bdf3-4ac5-89c7-2d3b6d0f5127
Maurice Sendak,488515f6-4172-4e7a-8c68-27eb86cdad33
Alexandre Dumas,c95df714-a02d-4db0-b08f-9227c66a5b40
 Robin Buss,8bf75179-60b2-4a1b-988b-158c8f4a8711
Cormac McCarthy,af6e0426-ce9c-4f30-b3e0-5e71ce7911ec
Tina Fey,e55fe559-926d-4dce-9b3d-d76e26f1ed03
Sophie Kinsella,e1f57a1d-e898-454f-b9ff-4d92d0e25b87
Victor Hugo,301cc288-a349-4fbf-835e-81698e572b36
 Lee Fahnestock,e09c6e3e-019a-428e-a8ba-4b50b9c82018
 Norman MacAfee,5fa6adaf-2a5d-4efc-a722-f17cad28efc1
Kim Edwards,f487e58f-44f2-4e24-a2c9-075cb70ece14
Jojo Moyes,30560c68-62b3-4bd9-8d5f-fc9e09a77361
Joseph Heller,f74b5f6c-9f1c-4fe9-ad79-0afb82f07d42
Mitch Albom,f19be5a2-ae01-4373-8f5f-8da7d04def92
 Saulius Dagys,c5671886-1f40-4ee7-9630-93b347147d09
Jeffrey Eugenides,8d897e38-c438-414a-aa5b-cb6bc49bbe2b
Madeleine L'Engle,8ff9a755-245e-4296-ad49-a2815d950029
Amy Tan,03068306-88a2-4671-8424-269dfc4349c3
Margaret Atwood,f47de9a3-831a-4c7d-b931-7a32bf6d806f
Ann Brashares,22755e04-f0bc-48fe-979a-f489e8464c92
Vladimir Nabokov,25b0972d-8d5e-424e-8c09-80740dc0eaf2
 Craig Raine,74f2d13e-0fe1-4f9b-8679-042d2ca5820a
Gregory Maguire,c345080a-49c4-4ea3-9b6f-3ae2164fafd2
 Douglas Smith,190902eb-713a-4868-983a-0456ea484421
Emma Donoghue,465726c3-f2be-42f3-92e4-4bf69ba190fc
 Richard Andrews,ead50b1e-5821-47d4-8b9c-7828b5a927d6
 Rex Gibson,b53c0188-1383-492d-bf6e-c631f4ff3011
Frank Herbert,9ae774e2-345d-4715-9e17-1684c7b71e91
Malcolm Gladwell,42d16eff-930e-4a00-9e77-373a1072adef
Walter Isaacson,adfb63e5-74aa-4490-836f-b1f7102bfc32
Ken Kesey,f4222824-6b15-421c-b5cb-405f279dd913
Ernest Hemingway,fba4cdff-d617-4c58-bc46-ae1a0beb4ef5
L.M. Montgomery,b1f74d55-bb39-4f59-9106-78563e88e771
Rebecca Wells,c3898b51-2540-4b71-9a1e-3bfebef89fc1
Diana Gabaldon,a70df3b8-7477-4261-abf6-70c609734025
Nathaniel Hawthorne,3a5dff9a-d795-409f-a4f8-074f2cce41d8
 Thomas E. Connolly,a99eb449-a9ed-4073-bdbb-a3f061360db5
 Nina Baym,ca118e5f-221f-46e3-b945-3e8eff92e0f3
Ransom Riggs,9a8a91ab-a835-40be-a62b-d415948427d6
Andy Weir,f0db8ff6-c32f-4feb-8ae4-a4e1ffe0fc44
Ken Follett,ab957ef1-051a-4f18-bed5-d74487abedf9
Anthony Doerr,f4eaa8b8-cbf6-4fcd-abec-5ab47a4be006
Laura Hillenbrand,f4e8faf0-8562-43c5-89a7-cfe400cfd3aa
Donna Tartt,73323e81-947d-439a-b534-2fa949813b9e
Jay Asher,6441b7fb-de49-4783-a6e1-e46e44f0a61c
Tracy Chevalier,f4390b1f-fabf-42a0-b6b0-1fd82ee59e9d
Gayle Forman,ed9dae8d-7c6b-4f8d-af9e-25bd04568935
Anita Diamant,4e1586b9-8f48-456d-86f6-b7df493b58eb
Emily Giffin,98e5e390-8266-47d5-a27d-ba0e5924ab21
Dr. Seuss,06b40e91-548e-4563-8708-971cdd033297
 לאה נאור,7a928293-f4d3-4fbc-879a-1efe83ef8c0e
Roald Dahl,a79fa15c-65e0-45ef-8b44-ca9593e0c647
 Quentin Blake,bd703af5-c123-4a45-ba0b-8750ea3d7d63
Albert Camus,eb5889a4-bdc5-4027-b384-5c2efec98c30
 Matthew    Ward,b4ab8bd2-5079-4062-80e4-8a3fca4106f6
Rainbow Rowell,377fca73-82e9-4391-82c0-dce1b5205304
Ally Condie,b7f556ef-e218-41f4-b27f-174b7c96e2da
Neil Gaiman,32b4611d-8fc9-46e9-b1bf-998007c0d6c1
 Bernie Wrightson,f3c50dcc-cae1-4468-95d4-27bd0c28ae72
 Fiona Stafford,194ea341-6a3e-4788-8472-0a55429fc058
Leo Tolstoy,87e84106-9cdb-47ed-8cb6-42d193ee530e
 Louise Maude,8a6bea48-b390-4aec-a532-ecbd8a01e618
 Leo Tolstoj,ef6cb0ff-47e6-4084-97ac-5738ebeac1f0
 Aylmer Maude,441d5763-21f5-44a7-b8c2-a31c4a24fab8
Anthony Burgess,9e8f86c4-6f4d-4562-ad8f-39d921c59b37
William Paul Young,bd77234d-6d1d-4b89-8e83-9286d247844a
Fyodor Dostoyevsky,f164191c-356c-4ebb-b545-4e1889db94b8
 David McDuff,3aec1699-a634-49bf-8ef0-d7f4e642987e
Sylvia Plath,c90e20da-5c76-40ae-a44d-a8070ee70114
Frank McCourt,3f826f42-313d-4cae-bfeb-b6d07fdaea24
Hermann Hesse,6f77be59-1031-49dd-874b-4bf01fe6057c
 Hilda Rosner,8a455ab6-5098-4428-961f-9df51baf91ac
Truman Capote,5980449e-baa1-47e7-8866-f2e3ea663eef
Kami Garcia,19a9d291-0fff-4217-ba0e-261e394cbd5e
 Margaret Stohl,2314c922-bd7b-4a9c-89ec-edbfa4d6e19b
Erin Morgenstern,42491768-957c-4536-80db-d291980b854b
Philippa Gregory,5cba2c6b-32e5-415e-88ba-4181d41f8189
Scott Westerfeld,0de067f0-eeeb-457e-bd09-f84fc05b2883
Cheryl Strayed,e01f2a8b-21fe-4fec-bfc0-adf9ebbaf1d1
Alan Moore,6741120e-c25b-4f56-924f-fdc046672fd6
 Dave Gibbons,386fdf9a-5c33-4ca7-9bf9-2f9bd1e690ef
 John Higgins,579fbb74-70c4-4a29-a9e2-3ea1abc516aa
Patrick Rothfuss,62d822d8-23bf-4433-9b19-ec8a1333c8be
Herman Melville,877d2b15-58bf-44b6-ba34-128ada85d6fe
 Andrew Delbanco,971ef876-4aa3-435c-b045-d5674252b0f7
 Tom Quirk,a387ecba-93e9-492d-9da8-84a7ae2f6722
Mary Ann Shaffer,ea89a411-db54-4e99-80e8-68ede23eb0d5
 Annie Barrows,28214c6b-8988-44c2-bddf-aa3f222730d3
Chuck Palahniuk,301deea7-38d9-4489-8f3e-72b4255a1ec2
Charlaine Harris,e710f636-bb05-4e76-b7ad-a1e9c3cd7047
Alice Walker,b40516cf-11a3-49f2-a273-2e14efdbe67d
John Grogan,b75b2bc9-63d1-46d8-9783-8582418a0b77
Agatha Christie,7e296a26-06b6-4d21-9772-6b2bccde1c10
Becca Fitzpatrick,de94a783-688d-4306-be7f-1916587ff32e
Jamie McGuire,44bcbbe9-6167-437e-b5b6-e1074313281f
Anne Rice,ee5afdbd-a251-499b-a93b-14b8e5251712
Kiera Cass,c981bd34-f6ab-452b-84b1-9bb2933d7c2c
Janet Evanovich,816251a4-ee63-459b-8ab1-15628cd1deb7
Rebecca Skloot,63b49150-c5df-4d20-9926-f2f854923990
Thomas Harris,208b4bed-3234-4e61-bc09-710128f7a40d
Richelle Mead,9da616c6-abee-44f1-8d37-385cab68dbf2
Ian McEwan,ca304ee4-a193-4bda-ad39-525d0eda74bd
Franz Kafka,cde88c81-ed66-45cc-890d-4d7126754e22
 Stanley Corngold,d212fa00-8a49-4dea-9bf0-bc7cb2ecfa33
Ernest Cline,9e6b433a-c496-46bb-86f2-537345499761
Garth Stein,adf9bbc3-2ac6-4705-94ae-55e218dcb8d0
Erik Larson,125d9308-c5f3-4954-a0b2-f693aec68118
 Tony Goldwyn,05126228-9c31-446d-9f4a-1772825388d8
Sylvia Day,97c8c797-123c-46d2-b63a-b2adee7f01e9
 Pauline Baynes,ba09a7c9-ee3c-472f-bf08-e2ab8bc5f6ce
Mark Cotta Vaz,1e5e952e-c67b-4ef2-a42d-8a8a1f0c9c56
Dave Pelzer,967a1770-6197-4c52-9ce5-f8f41544f645
Robert Ludlum,e2de5ad5-5e53-4839-a076-a20ef2c7ee76
Eoin Colfer,04e4fe6b-a2b3-40a0-9195-869dd96e3db7
Lauren Kate,4a4f844d-15bc-4e60-9105-35025ce76f83
Emma McLaughlin,e066fffd-d1a0-4f61-bd91-edc0b651d550
 Nicola Kraus,7f453d28-af27-477f-8071-eace6930dff6
Lewis Carroll,987cc9dc-b461-432f-81d5-1704dcd59017
 John Tenniel,82d3016a-7e5e-4d89-8c8b-fceb123b9b8f
 Martin Gardner,dc3932bf-c12f-42ee-97bf-e24c7fe846bd
 James Kinsley,eb7b1402-5cb9-41b9-ae27-951aee114c27
 Deidre Shauna Lynch,c3b70a35-66c6-43b2-9aab-8ea5aa56c1c1
Tatiana de Rosnay,501172b5-62d8-4949-9d60-3e19e0b9f5ce
 Edith Grossman,159879e1-44b6-474f-aab0-85aeb7771ce5
Laurie Halse Anderson,76160a76-24d4-4185-9ba3-6515ade4cf19
Liane Moriarty,f06cd5c9-b32b-4ae1-b5c7-cee3e3a74fa0
Augusten Burroughs,76c2d1dd-35ca-4989-a5c4-28796bd2785e
Max Brooks,4050fb2d-2d88-42be-9d56-fd9162bb6fce
James Patterson,05df3152-1685-4b06-b4f8-e19753fa0a38
Katherine Paterson,7f6220c3-3bcb-4f5e-9896-97e86ddc3bc5
P.C. Cast,1dbdeaaa-bdc1-4896-adea-e9429254d423
 Kristin Cast,a58564ea-8087-48f4-aff3-44c7e987c04a
Stephen R. Covey,36f113bf-413a-4601-b1a6-14c016764a0e
 Barbara A. Mowat,6fa826e6-66ad-4009-9042-12e1cded8568
 Paul Werstine,d336ba17-3a75-4d42-b6d9-9b8be3649578
 Catherine Belsey,ea7e37b0-1339-4331-83dd-6fc939ef14d7
Jonathan Safran Foer,c05a591c-320b-4afb-8a16-3ffcfa9a596a
R.J. Palacio,b12f815c-8f4d-43a2-bc85-400360a20800
Marissa Meyer,59bdf712-005e-49f1-8fcb-f4ea6c0f5b6f
Robert Galbraith,0af92bdd-fa6e-435a-a985-064f512aed09
 J.K. Rowling,abbfd218-f944-4311-802d-0395b0feddc7
Maggie Stiefvater,40290fde-8f51-4ebc-9ecf-e3f56b1dc7d9
Ayn Rand,3e429aae-bc1e-4959-9cf7-ca47ec10a8a1
 Leonard Peikoff,35ac6ff3-e2a0-4877-b812-eb4b5d835fc8
Greg Mortenson,cad4d7ae-9265-496c-ae18-8a4954835d5a
 David Oliver Relin,45477d05-8d16-41cb-9397-4f374ab73285
Jane Carruth,3b9e2491-d6f5-459d-9008-c4f29cec772e
 Lewis Carroll,d9d76dc7-f056-4ff5-a2bf-75de3b8d08cf
 Rene Cloke,3aeec070-de3b-4b36-85c5-ed6a1cd9a03a
Carlos Ruiz Zafón,25d93a3a-6b70-4e0b-8eb6-cdb4451982cd
 Lucia Graves,2666432f-485e-4fe3-a293-4db170c43441
Dale Carnegie,4ccb647e-be87-4643-9a23-9bbd04623757
Frances Mayes,aedaff03-b1c9-4028-993c-ede7fc8ba273
Gail Carson Levine,ff6a9775-b035-4fa4-951b-7799fb83c7f0
Betty  Smith,8c127ba0-78c4-45a6-869e-8d4652dc698f
Kristin Hannah,d782ff6b-f293-46cc-b293-18092015cb4c
Kazuo Ishiguro,4d8a8a31-6e08-4791-a464-a6c38c3e45a5
Cecelia Ahern,140ffbad-7cae-4bda-a8b7-e3fd943701ac
Daphne du Maurier,73b9a7dd-99de-4ca8-9ef4-bb16423aa8b7
 Sally Beauman,c27c9301-5342-4768-a055-1faaf6d17dae
Daniel Keyes,10f134b3-721c-4fc9-8c41-3e7665985f13
Laura Esquivel,ae6943b0-2ed5-4a28-9bf1-73a8c5b63c2e
 Thomas  Christensen,fc52a2cb-1d1f-4b71-91d1-e109913bac68
 Carol Christensen,f0d0a2c2-9d45-4707-b2d4-384173dbd56c
Lisa See,060fa960-b061-4d2c-ae95-b61e2adec3a6
Mario Puzo,cd613664-f54e-44f0-adfe-d27e10cc3656
 Robert Thompson,4bbfddf9-d705-4421-93de-aa72a1f47d06
 Peter Bart,dc943fa5-8744-438c-92a5-77113accd225
Isaac Asimov,9dd8667b-bd8c-4272-805e-b36342fa0694
John Tiffany,0273e6ef-cd1c-4a19-8b7a-0e3fc954b053
 Jack Thorne,1b17ffc3-d65d-4191-97db-a49a98115ce6
Lauren Oliver,c2fa8f6a-9a90-415b-84c1-52d3f6325076
Terry Pratchett,25bcf3ff-5639-4fa5-abdd-9ef5ea4177fa
 Neil Gaiman,c52abaa6-e308-40b1-8726-24e029ff696f
Jack Kerouac,920ff750-2dcd-4b9e-bb2b-cc898dddd5c8
Graeme Simsion,721e75cb-7426-4a47-90d7-20563c00aa53
Tom Clancy,b8aed64d-d4af-4e2f-9626-a5189442b41d
Richard Adams,45e4058b-1f17-4d79-8237-214f5cc94c5e
Mindy Kaling,6d57a93e-6893-4ecb-975f-518223503b62
Abraham Verghese,bec2c344-014f-4ef5-83ff-49ee931cbc56
Robert Louis Stevenson,e6ec9046-9c70-45c8-89ad-fc8ecc850962
Eric Carle,554a5783-c7bd-42e3-a18b-7c047e404a46
H.G. Wells,ec147b9b-a015-46a6-8791-92b02f47f81a
 Greg Bear,99fcc046-f4b5-4d2b-b14d-4a9761df04a2
 Carlo Pagetti,57a8ec82-610b-499b-8bbf-7cee27be1faa
Todd Burpo,d4c4f9c3-bd24-483b-af27-e8d5251c1e9a
 Lynn Vincent,74925e9a-1d9d-43f7-b8a6-49b4ba36417b
John Boyne,f1ba7f3a-95e9-4edc-8538-046148d4a3e4
Joseph Conrad,4820ed89-b871-4487-8eea-42ec97c1025f
Rhonda Byrne,20629194-9ef8-4ce0-ba6d-a789b983d7e6
Wally Lamb,9b042fd9-bec5-49ea-9e28-9d12419ef3b6
Jennifer Weiner,aa16c251-f1d7-4f95-bd8b-68b076bd343f
Colleen McCullough,bd0572b6-f8a0-4e3f-867e-ca33533096ad
 Dave McKean,8ef4317a-9cf1-460d-8ba3-8cdafd206fb4
M.L. Stedman,637759d5-75a5-4743-86ca-ad2d2a352125
Cornelia Funke,baca0df1-7135-4736-85c7-5c3444044d5f
 Anthea Bell,86ae60e1-2722-4702-ae7c-3ad1c0ab81b9
Spencer Johnson,5ec2c396-e237-4467-9290-edb387df0391
 Kenneth H. Blanchard,f2b8cd8c-0489-4526-8c0b-da6758d8c4ab
Bill Bryson,5d531d9a-f997-4a12-b9ed-e2a7a87e93f5
Maya Angelou,60b4c6e5-943a-49d5-98ce-8dd8850cbf77
Christina Baker Kline,521a9f24-a8d7-424e-a01a-792b0b02cf02
Maria Semple,136e609f-caa7-4bba-94d2-624a1aa24bc7
Wilson Rawls,e8182bc4-3f9a-4df4-8857-1be5bd577f7c
Milan Kundera,3a4a1aa2-a62c-4b0d-8356-ec16a5db485c
 Michael Henry Heim,317bcaf5-37d4-4c53-90bb-a3ba2916a6f5
John Irving,1c2b9d11-7270-41d3-9851-b41c9f62287a
Janet Fitch,458b2035-0b2d-4aba-8c6d-7d2956ac9e3a
Marie Lu,41f54567-ea84-4a85-a2f9-a40727a584c2
Randy Pausch,31533206-f169-4861-90ca-bfdae98bcecb
 Jeffrey Zaslow,e0484ea9-b463-42ce-ae2b-2eb76264d3b8
Robert Jordan,c3dba0fd-4954-4589-9e96-5a6173f70c87
Lisa Genova,ffada62a-17f7-4476-93ea-2ffe9fd6b0e4
David Nicholls,d0d05547-5b27-4e0d-a335-248f44ddc9c3
Margaret Wise Brown,62e18260-8809-4349-b02e-85bbe5f6d8eb
 Clement Hurd,9f9bd0d1-a231-4539-8d34-26b473d14b50
Pittacus Lore,b14b062e-6fc0-478e-9b23-5faf169d2267
L. Frank Baum,9e895b43-904c-46c3-9860-cca5bcd20d7c
 W.W. Denslow,04326c5f-94f0-4b43-8d4c-9b5e15443305
E. Lockhart,024776d1-f699-4e21-9642-fbc5d4107f40
Hunter S. Thompson,fef18160-3cac-4181-8ab4-9f1fd9b096e9
 Ralph Steadman,3e501abc-c42d-4cd6-b80b-4c36900ead3a
Amy Poehler,7e9f6473-0c2b-4422-b829-7b4cc31ca9d7
Toni Morrison,37853e3d-c55b-49ed-a673-abca47c82ecf
Kristin Cashore,395e1b28-c213-4df2-8b16-1db4d7d58b93
Lemony Snicket,1223a30c-1ed0-4588-ab62-286144c7db62
 Brett Helquist,6c7233e7-f49e-401f-9d79-c2e905f6104f
Erich Maria Remarque,7385d3ff-07db-41dd-a503-29de9b0ab911
 A.W. Wheen,ca80b5b8-d7d0-44b3-a93e-f306a83ba1f9
Philip K. Dick,abbb931a-d044-4ea2-8fe3-d6014aef9521
 Roger Zelazny,17dc5d24-a71d-440b-89a5-f46cafcd8aea
 George Cruikshank,bcf0f24f-1919-4eb7-922a-8c955638d84d
 Philip Horne,d508a059-9091-4155-9470-48c1aeadfb17
Stephanie Perkins,44da8040-e908-497b-b776-26f170c4bc8a
 David   Lloyd,a24e3300-b2cc-4fdb-a022-63f0b7c2395f
David McCullough,9559960e-ab64-4d5a-8732-34d72a5e3283
Dean Koontz,a7d83cfc-9983-49e8-bd8d-cf2ffc91d4a1
Jerry Spinelli,ea737a4e-52e3-410e-8bc3-d43a202313ab
Robert A. Heinlein,9157f3c7-cc86-42b2-90c2-970144bca648
Jack London,fefce4ef-91d1-42b3-8dd4-3f89784076d4
Jhumpa Lahiri,3622cbd9-a4b1-4aea-b4c8-1c2e7f3bdaac
Deborah Harkness,f41d99b3-b210-4134-ad34-305862127c5c
Haruki Murakami,055923a3-8b8d-4d13-ae94-2f995763fec9
 Jay Rubin,e3ae9a86-ffe2-46ea-ba85-fd4feafbcf9a
Billie Letts,7c6b0742-e604-46e4-8c61-cd676dd7f74c
 David Levithan,a363e5b8-ebe2-4d29-896c-99ccfb4e29cb
James Frey,795657dc-6fab-4ad2-abc7-5772a34f80de
Susan Cain,4754f7b9-8e27-448a-885f-ec0d36970422
Scott O'Dell,9bc60c75-41b3-469a-abca-2cb0378e2fbf
Arthur Miller,20dea4ea-73f7-4d7e-9be8-789da8cd52b1
 Christopher Bigsby,a51ad7f6-1368-468b-8024-c3c7aac476cd
Gary Paulsen,e3020090-0613-4aeb-8796-a9c3c1582552
Brandon Sanderson,4ceb9e27-7032-46e2-89f5-b9ba55298b61
 Vladimir Nabokov,fb0c9119-ff59-4f01-b23c-cf84b89d97af
 Mervyn Peake,70d59d76-8aed-4095-93b7-55d358c886fe
 Dan Chaon,5479473a-9b39-44a1-ba03-c8fe9a914baa
Jeff Kinney,5d6d4d88-9bf9-4a2b-a5dd-8ed7d2954a3c
Sarah J. Maas,3bebcb19-99b0-42fd-8ae1-0911d1c84ceb
Jamie Ford,a9b7b322-d94a-4f54-83a6-3473c73caf01
Patrick Süskind,06a4a392-df17-4d2d-afc1-7b099074b9d0
 John E. Woods,df1d3be3-4620-4555-b2ef-13f9fedf072a
Eric Schlosser,203544d6-ed9d-42ad-9018-0591506d5da7
William Gibson,b5ae7d69-7fce-42e5-bba7-ce1326eee765
Edgar Allan Poe,9ae6e575-9b54-4134-b59f-f7b6a583df36
Sun Tzu,e81eef39-3953-4598-abb4-d677e1862f89
 Thomas Cleary,2eec85a5-ed5a-4daa-bd10-f1736a859f4e
William Landay,f6d16534-ef60-4b6f-9869-5977c08befb6
Betty Edwards,9f0569e1-c72d-416a-97cd-a383b8a2cfef
Ann Patchett,0a778a8f-5f66-49ac-b4d9-42a6f21aaad3
Jared Diamond,28f82543-bda6-4154-a39d-90f7aefef423
Fannie Flagg,8bafd6be-f91a-4d28-b063-630d590ac56f
Chinua Achebe,83efb3c8-a9fd-4b88-84b1-6a345cd1312d
Gary Chapman,7ad3a30b-5452-495f-badc-f6c3a3cfbdad
Chris Cleave,ff9599bf-13e3-4e96-a646-8f1c4e2fb07a
